true_dd,lm_fitted_dd,rf_fitted_dd,region
266.2,328.7200613207042,342.70195906714656,Africa
349.2,535.6501245899026,230.32409457671153,Eastern Mediterranean
122.8,276.2656964454891,132.86427059921078,Africa
105,783.0037351023857,225.1957007671879,Western Pacific
72.8,191.56874031670122,81.2981468547805,Europe
43,176.6505264531079,32.707082745649885,Europe
185,321.50157074154686,337.7077379560355,Eastern Mediterranean
26.6,178.5754572742162,33.49966259795444,Western Pacific
19,171.83819940033572,36.3703176518548,Africa
161.4,301.2897971199036,120.06868870443894,South-East Asia
0,178.5754572742162,33.49966259795444,Eastern Mediterranean
161.4,304.17719335156744,124.72484694246961,America
257.6,957.6912071180113,359.26233437772663,Eastern Mediterranean
290.6,848.4513830200858,221.67669743385463,Europe
133,209.3743504119575,95.14635997698176,Europe
0,261.8287152871735,162.76803345863217,Eastern Mediterranean
93,479.8271307777468,356.046445529093,South-East Asia
519.6,384.54305513286,584.2106836615687,Europe
99,298.8836335935175,121.3907153711056,America
64,190.9382603201675,83.09041117330659,Eastern Mediterranean
20,215.96236099458292,170.20538414752556,America
119,250.129883069264,191.47958414635704,America
13,173.61388293018808,60.459576196393435,Europe
307.4,334.82683919805186,508.75974932906456,Africa
378.8,538.8695062355873,374.43784372559946,Eastern Mediterranean
126.8,284.297405143946,148.57069760446825,Africa
109,784.779418632239,386.5699209661365,Western Pacific
66.4,195.2693546676628,95.68854926231624,Europe
30,180.35114080406947,59.424469946455616,Europe
307.4,321.35232345029,411.30156898347417,Eastern Mediterranean
45,182.2760716251778,58.96950936676707,Western Pacific
29.2,175.5388137512973,60.459576196393435,Africa
182,307.877807702529,123.76476632824007,South-East Asia
45,182.2760716251778,58.96950936676707,Eastern Mediterranean
182,304.9904114708652,115.26830537585916,America
569,972.9414063956256,482.28967281051064,Eastern Mediterranean
599.4,851.6707646657705,375.00499429946956,Europe
152,213.55619746819684,146.3843458438526,Europe
128.2,267.4542604592434,178.87688229842163,Eastern Mediterranean
81,478.7154180759362,742.0614880240458,South-East Asia
552,390.1686003049308,640.2272430745513,Europe
93,304.50917876558833,115.26830537585916,America
63.8,195.12010737640776,56.32427382771369,Eastern Mediterranean
181.6,220.62544075609912,145.44090773415903,America
111,254.7929628307811,161.92836711087244,America
8,177.31449728115058,24.6937836961844,Europe
0,340.93361707540043,364.4824710976451,Africa
429.6,572.4065483137365,315.11192403864146,Eastern Mediterranean
0,287.5167867896307,140.36368711294196,Africa
105,785.1114040462608,277.7242585003236,Western Pacific
71.8,199.45120172390216,70.12206158469351,Europe
34,183.57052244975512,37.75573192183044,Europe
195,326.9778686223617,340.8180398708329,Eastern Mediterranean
3,185.9766859761403,30.932560940589443,Western Pacific
8,179.2394281022598,24.895097981898683,Africa
0,313.9845855798776,147.66249112326656,South-East Asia
0,186.45791868141805,30.757827607256118,Eastern Mediterranean
168.8,313.50335287459984,146.71591112326655,America
0,1043.0521340748428,872.0612745703538,Eastern Mediterranean
660,851.0402846692377,259.01062758457266,Europe
128,217.25681181915934,129.33500543838457,Europe
0,278.37336538936415,124.40157190441225,Eastern Mediterranean
87,499.2591771116013,289.1490440386415,South-East Asia
512.2,392.9067492453387,666.1500459920279,Europe
91,310.6159566429369,111.69228829310167,America
67.4,199.3019544326471,62.12127683200635,Eastern Mediterranean
15,228.17591674927917,216.25253393854,America
92,258.97480988702046,172.5431105879871,America
4,181.01511163211308,30.001645119266165,Europe
1,347.040394952749,416.03765670687375,Africa
405.4,583.3256532438572,299.360573161042,Eastern Mediterranean
0,293.6235646669793,190.89949784219027,Africa
105,787.8495529866686,227.11590434985305,Western Pacific
71.6,203.63304878014242,76.1849409417854,Europe
34,187.2711368007176,44.25534913244252,Europe
5,332.60341379443344,410.7852401026282,Eastern Mediterranean
1,189.67730032710278,35.340604687998095,Western Pacific
0,182.9400424532223,30.001645119266165,Africa
0,320.57259616250303,213.36061148641215,South-East Asia
2,190.6397657376574,35.1034046879981,Eastern Mediterranean
94,318.6476653413938,212.8725744764453,America
0,1066.002056636893,1055.6759476784407,Eastern Mediterranean
487,852.3347354938142,211.12504657207532,Europe
118,221.4386588753987,130.20250996365814,Europe
0,284.9613759719896,203.15287193309922,Eastern Mediterranean
87,504.40348957839524,307.3838798277086,South-East Asia
467.8,395.1636654804697,812.8530427803114,Europe
100,316.2415018150077,193.04806009002797,America
0,218.4020153524807,83.34816774586034,Eastern Mediterranean
10,228.98913486857873,90.6965823785401,America
113,263.63788964853757,178.46261180706233,America
6,185.6781913936302,31.29906411110959,Europe
0,353.62840553537535,412.0730548590505,Africa
0,577.4016134892754,350.641601581185,Eastern Mediterranean
0,300.6928079548825,207.841532566968,Africa
112,789.144003811245,227.30681092794904,Western Pacific
0,206.3711977205503,81.48533366614257,Europe
40,190.9717511516801,48.265094736040226,Europe
3,335.82279544011817,394.55120158293124,Eastern Mediterranean
4,193.85914738334304,38.880144577310034,Western Pacific
0,186.6406568041848,31.346397444442925,Africa
0,327.16060674512846,240.73202777486114,South-East Asia
0,193.85914738334304,38.880144577310034,Eastern Mediterranean
127,321.86704698707945,208.94424301000439,America
0,1030.7228218604023,610.7622862170974,Eastern Mediterranean
470,867.5849347714302,204.1603014041396,Europe
146,225.62050593163804,93.56074752843493,Europe
0,280.48103433324013,159.2105494694,Eastern Mediterranean
113,514.8413618032382,354.0611349145184,South-East Asia
465.4,397.9018144208776,647.7160014543632,Europe
112,321.86704698707945,208.94424301000439,America
1,223.0650951139969,109.43455561740646,Eastern Mediterranean
10,233.170981924819,81.89972121225598,America
149,267.8197367047769,157.58580806205737,America
4,189.37880574459268,26.832006030440496,Europe
1,359.735183412723,367.72543495614616,Africa
0,588.3207184193961,409.9687560547247,Eastern Mediterranean
0,306.79958583223106,210.02691526823472,Africa
110,792.3633854569307,258.8367996255986,Western Pacific
0,210.0718120715128,78.0147646072013,Europe
38,194.6723655026426,45.678347446860315,Europe
374,340.96710790691213,339.59115963067137,Eastern Mediterranean
0,197.55976173430554,32.97764871670161,Western Pacific
0,190.3412711551473,26.832006030440496,Africa
0,333.26738462247704,257.5201037223948,South-East Asia
0,198.0409944395824,32.95968205003495,Eastern Mediterranean
94,327.0113594538734,182.8192090919472,America
0,1050.3041154855127,653.3212068745925,Eastern Mediterranean
412,870.8043164171149,225.27284914940813,Europe
143,229.8023529878783,96.41319554809564,Europe
0,285.6253468000341,144.75954234777154,Eastern Mediterranean
136,520.4669069753099,405.20283241836114,South-East Asia
4,400.15873065600863,589.9346274870891,Europe
140,327.973824864428,184.8355787889169,America
0,232.54050192828618,101.01855118982289,Eastern Mediterranean
10,239.27775980216666,182.94581374063938,America
103,272.482816466294,164.25000782782786,America
6,193.07942009555518,31.40285691157678,Europe
0,376.42908080617053,400.2988745591227,Africa
0,582.8779113700912,476.9156643303055,Eastern Mediterranean
0,312.4251310043019,220.00760645087453,Africa
84,799.4326287448339,258.540739984096,Western Pacific
0,214.25365912775214,68.89484232594398,Europe
34,197.89174714832734,52.528609595786804,Europe
4,346.59265307898386,316.90319933194866,Eastern Mediterranean
0,201.26037608526804,37.575259826667015,Western Pacific
0,193.56065280083294,31.40285691157678,Africa
0,321.56855240456935,203.07920645087438,South-East Asia
0,205.11023772748558,40.04464934455195,Eastern Mediterranean
97,334.0806027417766,203.39496576610173,America
0,1064.1106166472964,579.0962807756418,Eastern Mediterranean
420,874.9861634733552,219.7493910314113,Europe
152,233.98420004411764,95.10797133634306,Europe
0,293.17582279321414,170.92573137649964,Eastern Mediterranean
158,510.2117728732337,594.1235198858606,South-East Asia
11,405.3030431228026,504.39318761904474,Europe
112,334.0806027417766,203.39496576610173,America
0,236.72234898452552,125.86732979904313,Eastern Mediterranean
9,243.45960685840691,179.08918286574644,America
123,277.14589622781114,181.2952772890123,America
5,197.26126715179544,61.157427091979244,Europe
1,383.4983240940737,338.5314407836804,Africa
0,592.8345508896573,543.931787542825,Eastern Mediterranean
0,318.53190888165045,250.58402988474577,Africa
77,802.6520103905186,443.5735613812092,Western Pacific
0,218.4355061839924,97.19417824253209,Europe
29,201.11112879401298,78.21870119146075,Europe
4,352.69943095633244,379.4782149362249,Eastern Mediterranean
0,205.44222314150738,66.302277536295,Western Pacific
0,197.26126715179544,61.157427091979244,Africa
0,326.7128648713633,237.283823218079,South-East Asia
38,210.25455019427955,72.43860324397546,Eastern Mediterranean
73,339.7061479138474,264.716121219691,America
0,1082.2482121565745,712.6820681262396,Eastern Mediterranean
465,877.2430797084853,356.791218926329,Europe
166,237.68481439508014,113.74955226546561,Europe
0,297.3576698494535,195.3099899935007,Eastern Mediterranean
188,514.8748526347499,647.3757708761584,South-East Asia
605.8,407.5599593579336,433.97126883608456,Europe
54,340.1873806191252,265.09603233080213,America
0,239.46049792493432,126.60023441572926,Eastern Mediterranean
9,246.67898850409165,141.184600820002,America
120,281.3277432840505,107.95619781230874,America
3,199.0369506816487,55.965681029292874,Europe
1,386.2364730344816,359.60781405469515,Africa
0,635.5150143680739,542.6177611297152,Eastern Mediterranean
0,327.0448502853851,185.57705160063185,Africa
91,804.4276939203728,465.7344441211683,Western Pacific
0,223.57981865078636,68.3789579090652,Europe
37,204.81174314497548,70.26420961211359,Europe
11,360.73113965478933,411.09791916083253,Eastern Mediterranean
21,209.62407019774764,59.47745397301585,Western Pacific
0,201.44311420803479,55.931659427561264,Africa
0,332.3384100434341,176.01324112444144,South-East Asia
68.2,216.84256077690497,91.6489203620712,Eastern Mediterranean
82,346.29415849647376,198.5093542098597,America
1109.2,1104.235669308071,849.974243430639,Eastern Mediterranean
434,885.75602111222,354.7794697658245,Europe
169,242.34789415659725,117.60776121698355,Europe
0,284.2151395157143,106.43233114564208,Eastern Mediterranean
206,522.4253286279309,672.6774150768794,South-East Asia
3,410.77934100361927,586.3164456269233,Europe
53,344.8504603806423,198.28012563843114,America
134,285.9908230455676,167.56817320487707,America
4,204.66249585372043,108.52697304696181,Europe
0,333.63286086801145,277.26336166544746,Africa
96,806.6846101555038,406.260201892721,Western Pacific
30,208.51235749593798,117.39447076398163,Europe
70,351.91970366854457,276.2966827389243,America
0,1126.7043591648444,1269.6336878232341,Eastern Mediterranean
487,888.9754027579056,354.6679328451018,Europe
195,246.5297412128366,199.97115557824287,Europe
0,288.3969865719537,169.70220653821042,Eastern Mediterranean
220,526.6071756841702,662.5712759870474,South-East Asia
10,256.00514802712587,247.7263864204111,America
173,289.6914373965301,256.105590903489,America
10,208.36311020468293,202.0446421621833,Europe
24,211.7317391416227,206.49411526159852,Europe
52,357.5452488406163,352.7640377954455,America
572,895.563413340531,928.5860643720818,Europe
192,250.2303555637991,264.59016559450504,Europe
0,290.6539028070847,255.87599090348897,Eastern Mediterranean
